2021-10-20T07:11:08.586+09:00,dedka,KeyEvent,65535:17:2,hw6,Editor,C:/Users/dedka/IdeaProjects/FCTest/src/Player.java,,6,29,Default task
2021-10-20T07:11:08.789+09:00,dedka,Action,EditorCopy,hw6,Editor,C:/Users/dedka/IdeaProjects/FCTest/src/Player.java,,6,29,Default task
2021-10-20T07:11:08.809+09:00,dedka,KeyEvent,3:67:2,hw6,Editor,C:/Users/dedka/IdeaProjects/FCTest/src/Player.java,,6,29,Default task
2021-10-20T07:11:11.578+09:00,dedka,KeyEvent,65535:17:2,hw6,Editor,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,2,0,Default task
2021-10-20T07:11:11.690+09:00,dedka,Action,EditorPaste,hw6,Editor,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,2,0,Default task
2021-10-20T07:11:11.740+09:00,dedka,KeyEvent,22:86:2,hw6,Editor,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,6,29,Default task
2021-10-20T07:11:13.081+09:00,dedka,Action,EditorEnter,hw6,Editor,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,6,29,Default task
2021-10-20T07:11:13.089+09:00,dedka,KeyEvent,10:10:0,hw6,Editor,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,7,4,Default task
2021-10-20T07:11:13.287+09:00,dedka,KeyEvent,65535:16:1,hw6,Editor,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,7,4,Default task
2021-10-20T07:11:13.408+09:00,dedka,KeyEvent,125:93:1,hw6,Editor,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,7,4,Default task
2021-10-20T07:11:18.000+09:00,dedka,Action,Kotlin.NewFile,hw6,Popup,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,6,29,Default task
2021-10-20T07:11:21.428+09:00,dedka,Action,NewClass,hw6,Popup,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,8,0,Default task
2021-10-20T07:11:26.973+09:00,dedka,KeyEvent,65535:16:1,hw6,Popup,C:/Users/dedka/IdeaProjects/hw6/src/ed/pnu/admin/Player.java,,8,0,Default task
